src,tgt,dist,src_lab,tgt_lab,isnbr,src_lab_,tgt_lab_,wts
103,120,38.24034372668121,18137,18047,FALSE,18047,18137,1
104,609,51.52201726869326,48157,48039,FALSE,48039,48157,1
104,361,51.816883374024094,48157,48201,FALSE,48157,48201,1
105,312,48.404751814088016,36103,09009,FALSE,09009,36103,1
105,29,56.24075665300992,36103,09007,FALSE,09007,36103,1
106,119,34.84190418612675,01081,01017,FALSE,01017,01081,1
106,377,39.978069265495414,01081,01087,FALSE,01081,01087,1
107,814,37.62444124995743,13293,13207,FALSE,13207,13293,1
107,366,55.19224152802747,13293,13225,FALSE,13225,13293,1
108,203,52.257969788176126,06097,06055,FALSE,06055,06097,1
108,186,54.97105440356,06097,06041,FALSE,06041,06097,1
109,616,88.98768837372758,26033,26047,FALSE,26033,26047,1
109,638,94.06860262833911,26033,26031,FALSE,26031,26033,1
110,777,20.70784112732792,13013,13157,FALSE,13013,13157,1
111,322,36.24558691382977,26037,26155,FALSE,26037,26155,1
111,542,39.242084408894335,26037,26067,FALSE,26037,26067,1
112,730,39.20724467502577,17135,17021,FALSE,17021,17135,1
112,460,47.04556395337233,17135,17051,FALSE,17051,17135,1
113,413,43.489118809159734,28071,28115,FALSE,28071,28115,1
113,598,43.868534900255845,28071,28107,FALSE,28071,28107,1
114,730,44.32840620313207,17115,17021,FALSE,17021,17115,1
114,493,60.96322098558187,17115,17167,FALSE,17115,17167,1
115,365,30.934678448459383,26149,18087,FALSE,18087,26149,1
115,662,37.23472261582552,26149,26077,FALSE,26077,26149,1
116,238,50.68426937109271,27109,27169,FALSE,27109,27169,1
116,424,90.914943760290015,27109,27037,FALSE,27037,27109,1
117,597,48.261774414949315,01097,28059,FALSE,01097,28059,1
117,571,80.51158957721235,01097,01129,FALSE,01097,01129,1
118,396,110.24249824028759,46087,46005,FALSE,46005,46087,1
119,550,38.31273119243238,01017,01123,FALSE,01017,01123,1
120,808,27.495704538129594,18047,18041,FALSE,18041,18047,1
121,151,28.273000280062114,37159,37025,FALSE,37025,37159,1
121,631,32.079261154607316,37159,37059,FALSE,37059,37159,1
122,570,45.24648475609059,41003,41053,FALSE,41003,41053,1
122,240,70.39619031782344,41003,41043,FALSE,41003,41043,1
123,680,25.906772945411447,42099,42041,FALSE,42041,42099,1
124,846,43.1932928365863,48203,48365,FALSE,48203,48365,1
124,504,46.00843935958984,48203,22017,FALSE,22017,48203,1
125,635,37.60551096589838,29019,29027,FALSE,29019,29027,1
125,228,54.17383876023973,29019,29051,FALSE,29019,29051,1
126,164,37.19671421967156,08059,08031,FALSE,08031,08059,1
126,757,39.378913490685306,08059,08035,FALSE,08035,08059,1
127,611,38.61276471387606,05141,05029,FALSE,05029,05141,1
127,281,41.284972621710494,05141,05023,FALSE,05023,05141,1
128,170,47.76283388219721,08117,08037,FALSE,08037,08117,1
128,126,76.57060064595117,08117,08059,FALSE,08059,08117,1
129,306,54.01895455148029,20035,40071,FALSE,20035,40071,1
129,356,58.08425747701898,20035,20191,FALSE,20035,20191,1
130,355,140.09935481509353,04017,04005,FALSE,04005,04017,1
130,595,188.4376272937547,04017,35031,FALSE,04017,35031,1
131,483,49.102914959670784,28085,28005,FALSE,28005,28085,1
131,826,59.45535354250159,28085,28065,FALSE,28065,28085,1
132,598,49.20203755050739,28143,28107,FALSE,28107,28143,1
132,400,51.08433027633283,28143,05107,FALSE,05107,28143,1
133,409,28.643539902075833,18005,18013,FALSE,18005,18013,1
133,660,32.949479821865324,18005,18079,FALSE,18005,18079,1
134,398,26.122587705131593,13223,13097,FALSE,13097,13223,1
134,685,27.118187996207176,13223,13067,FALSE,13067,13223,1
135,724,27.87558547080374,39015,39025,FALSE,39015,39025,1
135,538,54.22900942939515,39015,39027,FALSE,39015,39027,1
136,763,168.4320693352006,38101,38059,FALSE,38059,38101,1
137,492,77.89630684139507,06031,06019,FALSE,06019,06031,1
137,647,94.4944785722084,06031,06107,FALSE,06031,06107,1
138,437,106.4437241387313,06073,06065,FALSE,06065,06073,1
138,701,117.91325276896892,06073,06059,FALSE,06059,06073,1
139,510,39.9188613333248,29037,29095,FALSE,29037,29095,1
139,867,43.303861662548066,29037,29013,FALSE,29013,29037,1
140,600,42.051275082768015,36027,09005,FALSE,09005,36027,1
141,614,87.49280165081922,48477,48021,FALSE,48021,48477,1
142,768,73.99595961089886,08101,08041,FALSE,08041,08101,1
142,770,99.60649950458193,08101,08119,FALSE,08101,08119,1
143,474,35.62298715127127,37051,37085,FALSE,37051,37085,1
143,522,66.38479330242247,37051,37101,FALSE,37051,37101,1
144,588,26.517042863579196,06061,06057,FALSE,06057,06061,1
144,402,58.36651418984606,06061,06115,FALSE,06061,06115,1
145,796,48.725163552615136,36077,36025,FALSE,36025,36077,1
145,465,57.061114203287865,36077,36057,FALSE,36057,36077,1
146,825,38.57350477631154,37153,37123,FALSE,37123,37153,1
146,531,56.670686470443606,37153,37167,FALSE,37153,37167,1
147,148,44.25149056197883,45035,45015,TRUE,45015,45035,1
147,524,53.30865156719668,45035,45019,FALSE,45019,45035,1
148,524,45.295211818330166,45015,45019,FALSE,45015,45019,1
149,376,32.8575003727451,39155,39099,FALSE,39099,39155,1
149,36,38.80222700969879,39155,39133,FALSE,39133,39155,1
150,857,39.87927869217342,42019,42005,FALSE,42005,42019,1
150,714,49.651725570358636,42019,42003,FALSE,42003,42019,1
151,531,28.411700945812772,37025,37167,FALSE,37025,37167,1
152,251,37.55743908406635,49011,49057,FALSE,49011,49057,1
152,771,117.47233373406827,49011,49051,FALSE,49011,49051,1
153,498,34.41713298439921,13291,37039,FALSE,13291,37039,1
153,347,46.59390914721249,13291,13085,FALSE,13085,13291,1
154,702,36.29111556846211,18017,18067,FALSE,18017,18067,1
154,319,50.86220696808081,18017,18023,FALSE,18017,18023,1
155,648,24.862154520564555,42101,42045,FALSE,42045,42101,1
155,608,30.056587170359354,42101,42091,FALSE,42091,42101,1
156,584,62.00661333749302,36109,36007,FALSE,36007,36109,1
156,204,62.32265791006721,36109,36011,FALSE,36011,36109,1
157,644,65.10916309192987,05069,05119,FALSE,05069,05119,1
157,746,79.7923451436715,05069,05125,FALSE,05069,05125,1
158,593,40.01177348404308,36001,36083,FALSE,36001,36083,1
158,677,47.3986703605204,36001,36021,FALSE,36001,36021,1
159,195,47.71726247157111,48029,48091,FALSE,48029,48091,1
159,316,58.21278996477015,48029,48325,FALSE,48029,48325,1
160,192,33.4621070896018,08013,08014,FALSE,08013,08014,1
160,164,57.55327289478127,08013,08031,FALSE,08013,08031,1
161,475,45.37223980606584,40097,40145,FALSE,40097,40145,1
161,495,49.326920788962966,40097,40021,FALSE,40021,40097,1
162,73,82.02604809492982,16013,16053,FALSE,16013,16053,1
162,454,126.51247799758849,16013,16031,FALSE,16013,16031,1
163,821,38.98407463241728,22053,22001,FALSE,22001,22053,1
164,192,25.775034384285753,08031,08014,FALSE,08014,08031,1
165,378,39.08043480562266,17093,17089,FALSE,17089,17093,1
165,578,40.72352121913408,17093,17197,FALSE,17093,17197,1
166,277,40.58143336203673,11001,24003,FALSE,11001,24003,1
166,689,47.96893962822444,11001,24017,FALSE,11001,24017,1
167,248,61.35938162688265,08085,08029,FALSE,08029,08085,1
167,301,122.38719393475547,08085,08083,FALSE,08083,08085,1
168,728,42.89185676109796,27171,27053,FALSE,27053,27171,1
168,191,67.42743835914892,27171,27139,FALSE,27139,27171,1
169,517,23.263270778948463,55059,55101,FALSE,55059,55101,1
169,190,36.35242331205839,55059,55079,FALSE,55059,55079,1
171,186,43.91064983527763,06075,06041,TRUE,06041,06075,1
171,780,67.81173646588076,06075,06081,FALSE,06075,06081,1
173,480,45.98975667414628,12109,12107,FALSE,12107,12109,1
173,651,46.06220222466168,12109,12019,FALSE,12019,12109,1
174,877,29.74295834234171,28019,28155,FALSE,28019,28155,1
174,390,35.854260422850054,28019,28105,FALSE,28019,28105,1
175,794,44.653096216623275,26139,26121,FALSE,26121,26139,1
175,547,54.659162528390276,26139,26081,FALSE,26081,26139,1
176,682,35.03599377116659,17031,17097,FALSE,17031,17097,1
176,653,36.780712566796815,17031,17043,FALSE,17031,17043,1
177,613,71.25032166988242,47075,47157,FALSE,47075,47157,1
177,544,87.04681518161094,47075,47131,FALSE,47075,47131,1
178,860,54.09162368212131,54035,39053,FALSE,39053,54035,1
178,585,63.89531830624016,54035,39009,FALSE,39009,54035,1
179,624,58.04992508823278,48143,48363,FALSE,48143,48363,1
179,233,81.9650954998655,48143,48251,FALSE,48143,48251,1
180,153,47.7741772432236,13137,13291,FALSE,13137,13291,1
180,777,56.08632873291804,13137,13157,FALSE,13137,13157,1
181,766,48.47855673435332,13319,13021,FALSE,13021,13319,1
181,674,51.32254944157769,13319,13175,FALSE,13175,13319,1
182,586,21.25067121610016,54061,54049,FALSE,54049,54061,1
182,478,47.83310221391498,54061,42051,FALSE,42051,54061,1
183,339,47.00294660830991,09011,09013,FALSE,09011,09013,1
184,704,38.32987654827071,26015,26045,FALSE,26015,26045,1
184,662,41.491998618654264,26015,26077,FALSE,26015,26077,1
185,309,18.68802750445192,51760,51087,FALSE,51087,51760,1
185,820,19.57822522245356,51760,51041,FALSE,51041,51760,1
187,257,48.49749236737389,48381,48375,FALSE,48375,48381,1
187,743,58.1029393617942,48381,48069,FALSE,48069,48381,1
188,346,79.8108335787248,12043,12085,FALSE,12043,12085,1
189,240,45.91620699091921,41047,41043,FALSE,41043,41047,1
190,517,16.460475567047876,55079,55101,FALSE,55079,55101,1
191,424,37.331498772936826,27139,27037,FALSE,27037,27139,1
191,728,39.66734099689367,27139,27053,FALSE,27053,27139,1
193,407,57.404745125331466,37031,37049,FALSE,37031,37049,1
193,739,77.23087381403815,37031,37103,FALSE,37031,37103,1
194,288,39.66934552942455,26075,26065,FALSE,26065,26075,1
194,392,39.92038948814711,26075,26059,FALSE,26059,26075,1
195,315,35.38342139806017,48091,48209,FALSE,48091,48209,1
196,604,27.987558357888048,12081,12115,FALSE,12081,12115,1
196,871,45.85537074884492,12081,12057,FALSE,12057,12081,1
197,508,43.75468590049959,28109,28045,FALSE,28045,28109,1
197,514,44.702399573670924,28109,22117,FALSE,22117,28109,1
198,378,28.65077825392375,17037,17089,FALSE,17037,17089,1
198,165,44.152598736922286,17037,17093,FALSE,17037,17093,1
199,727,34.32708031353234,28011,28133,FALSE,28011,28133,1
200,434,31.23153781525247,47073,47059,FALSE,47059,47073,1
200,840,39.666916989763656,47073,47063,FALSE,47063,47073,1
201,821,34.63265022152462,22055,22001,FALSE,22001,22055,1
201,349,42.5243031433136,22055,22097,FALSE,22055,22097,1
202,369,151.13547371986434,16069,53063,FALSE,16069,53063,1
202,868,165.77067296868995,16069,53021,FALSE,16069,53021,1
203,386,41.47799026860058,06055,06113,FALSE,06055,06113,1
203,284,42.954748867141014,06055,06095,FALSE,06055,06095,1
204,707,30.773894329943097,36011,36067,FALSE,36011,36067,1
205,762,47.65751852278047,19061,55043,FALSE,19061,55043,1
205,254,73.05263245755766,19061,19113,FALSE,19061,19113,1
206,774,41.47376501722853,39139,39077,FALSE,39077,39139,1
206,788,42.43762656465784,39139,39083,FALSE,39083,39139,1
207,256,40.18150481488216,39021,39109,FALSE,39021,39109,1
207,715,40.8039352435778,39021,39097,FALSE,39021,39097,1
208,393,44.37460246955849,33019,33013,FALSE,33013,33019,1
208,231,48.497068741611166,33019,33005,FALSE,33005,33019,1
209,729,43.39222991142478,19157,19171,FALSE,19157,19171,1
209,226,59.50466602107498,19157,19011,FALSE,19011,19157,1
210,856,31.876265067263276,39169,39103,FALSE,39103,39169,1
210,370,43.918422785273236,39169,39151,FALSE,39151,39169,1
211,307,25.775004973237966,13113,13077,FALSE,13077,13113,1
212,426,32.47671879331039,13277,13321,FALSE,13277,13321,1
212,448,37.68114970306143,13277,13071,FALSE,13071,13277,1
213,518,60.238471616701446,36043,36065,FALSE,36043,36065,1
213,234,80.83085577238757,36043,36113,FALSE,36043,36113,1
214,470,40.46750743736264,26053,55051,FALSE,26053,55051,1
