src,tgt,dist,src_lab,tgt_lab
101,140,55.6012457270391,28109,28035
101,245,44.702399573670924,28109,22117
101,258,53.536270124338955,28109,22103
101,281,62.527329157462596,28109,28047
103,138,44.536831434268166,22055,22099
103,171,42.5243031433136,22055,22097
103,277,70.10101534496556,22055,22045
103,391,34.63265022152462,22055,22001
105,181,43.918422785273236,39169,39151
105,392,43.9332375913982,39169,39153
105,409,31.876265067263276,39169,39103
106,268,42.02346364021469,13113,13121
107,396,39.334850401173114,01095,01055
108,207,76.87186934274209,22087,22075
108,258,85.86423246044986,22087,22103
108,281,58.064338491207614,22087,28047
108,380,66.35390757473225,22087,22071
109,369,56.68253831031017,34009,10001
109,410,46.40511342693142,34009,34001
112,331,41.36965258382096,13015,13067
112,348,33.38131362878771,13015,13057
113,131,35.289213355857825,12069,12119
113,139,57.18098491049638,12069,12117
113,265,90.1381555105556,12069,12105
113,324,96.36907712832785,12069,12097
114,135,52.208945898095905,24009,24003
114,333,42.62699101040681,24009,24017
118,205,44.22250844902802,13139,13135
118,387,30.188530116413936,13139,13117
120,130,53.061858859613444,12103,12101
120,416,41.68009759480148,12103,12057
121,184,62.09285775548789,01093,28095
124,149,34.52282726051252,39109,39037
124,295,33.73245833468501,39109,39113
126,367,29.75767215918228,51550,51800
126,414,26.728394377148554,51550,51810
127,397,65.25083920883,55089,55133
128,136,54.60032582195583,25013,25003
128,165,39.36145343440132,25013,09013
128,287,62.64803111327213,25013,09005
129,137,40.52051165348362,42011,42107
129,183,51.17850923968298,42011,42029
129,293,52.36475321479324,42011,42091
129,321,36.10925980686687,42011,42077
129,345,45.80331519164288,42011,42075
129,395,49.640517741349946,42011,42071
130,131,62.38120551679606,12101,12119
130,265,89.41021238321909,12101,12105
130,416,48.82226544857386,12101,12057
131,265,92.37229891439864,12119,12105
132,270,58.41538974160558,36059,09001
132,303,22.80639150130392,36059,36081
132,408,25.837584297801506,36059,36005
133,253,60.11276347659296,29071,29189
134,361,36.88883446212881,45063,45079
136,283,44.81151267675496,25003,36083
136,287,64.46579409231711,25003,09005
136,326,36.32437385009832,25003,36021
137,218,49.315635200576175,42107,42025
137,321,53.82925112603221,42107,42077
137,329,56.00495904222489,42107,42079
137,345,42.432873192416906,42107,42075
138,171,62.87508671181388,22099,22097
138,190,65.26207287148095,22099,22077
138,277,61.49652653302535,22099,22045
138,349,56.53954341685828,22099,22101
139,356,60.63742787863496,12117,12009
141,162,37.82066008581974,26065,26093
142,354,26.10266783271282,18081,18145
142,364,32.09763413035029,18081,18097
143,246,39.34827408328294,13261,13093
143,412,25.47756151241274,13261,13177
144,194,47.949609400004434,45007,45045
145,159,48.53217904514088,26087,26147
145,170,47.60594727280116,26087,26157
145,228,39.88021238993228,26087,26049
145,274,52.92185912496648,26087,26099
145,343,49.362005313667225,26087,26125
147,385,39.96118216684543,28023,28075
149,295,50.581502822808716,39037,39113
150,271,59.60590181081442,06013,06077
150,276,30.476760023600182,06013,06001
151,390,26.05999664455212,51087,51041
